energy,theta,cx
0.95,12.38,62.8000
0.95,18.52,12.3500
0.95,25.30,4.4000
0.95,31.13,1.7130
0.95,37.20,0.8540
0.95,49.23,0.3220
0.95,61.10,0.1735
0.95,72.37,0.1217
0.95,90.70,0.0921
0.95,99.28,0.0833
1.49,12.38,22.9000
1.49,18.52,4.0500
1.49,25.30,1.0900
1.49,37.20,0.1960
1.49,49.23,0.1031
1.49,61.10,0.0821
1.49,72.37,0.0764
1.49,90.70,0.0828
1.49,114.22,0.1202
1.49,132.37,0.1692
1.49,149.22,0.2050
2.02,12.38,9.9700
2.02,18.52,1.5640
2.02,25.30,0.4960
2.02,31.13,0.2910
2.02,37.20,0.2710
2.02,61.10,0.1878
2.02,72.37,0.1540
2.02,90.70,0.1262
2.02,104.36,0.1402
2.02,114.22,0.1795
2.02,132.37,0.2790
2.02,149.22,0.3720
2.02,168.20,0.4430
2.22,12.38,8.1200
2.22,18.52,1.4050
2.22,25.30,0.6000
2.22,31.13,0.4410
2.22,37.20,0.3980
2.22,49.23,0.3310
2.22,66.54,0.2380
2.22,90.70,0.1487
2.22,114.22,0.1830
2.22,132.37,0.2870
2.22,149.22,0.3860
2.22,168.20,0.4750
2.53,12.38,6.4600
2.53,18.52,1.5000
2.53,25.30,0.8230
2.53,37.20,0.5540
2.53,43.23,0.5020
2.53,49.23,0.4740
2.53,61.10,0.3400
2.53,72.37,0.2540
2.53,94.22,0.1507
2.53,114.22,0.1740
2.53,132.37,0.2600
2.53,149.22,0.3530
2.53,150.14,0.3450
2.53,160.14,0.4070
2.53,168.20,0.4330
3.04,12.38,5.3200
3.04,18.52,1.5200
3.04,25.30,0.9210
3.04,31.13,0.7280
3.04,43.23,0.5230
3.04,55.21,0.4100
3.04,72.37,0.2460
3.04,94.22,0.1408
3.04,114.22,0.1265
3.04,132.37,0.1710
3.04,140.14,0.1950
3.04,149.22,0.2320
3.04,150.14,0.2260
3.04,160.14,0.2730
3.04,164.59,0.2800
3.04,168.20,0.2810
3.58,12.38,4.3300
3.58,18.52,1.3480
3.58,25.30,0.8340
3.58,37.20,0.5540
3.58,43.23,0.4810
3.58,55.21,0.3600
3.58,72.37,0.2240
3.58,90.70,0.1390
3.58,110.14,0.0997
3.58,114.22,0.0985
3.58,120.14,0.0981
3.58,132.37,0.1200
3.58,140.14,0.1428
3.58,149.22,0.1663
3.58,150.14,0.1621
3.58,160.14,0.1915
3.58,168.20,0.1935
9.48,15.30,0.6596
9.48,15.90,0.6294
9.48,18.40,0.5336
9.48,19.00,0.5086
9.48,21.50,0.4754
9.48,25.20,0.4126
9.48,27.70,0.378
9.48,31.30,0.358
9.48,33.90,0.3382
9.48,37.40,0.3076
9.48,40.00,0.3099
9.48,43.50,0.2804
9.48,49.50,0.2392
9.48,52.00,0.2322
9.48,61.30,0.1719
9.48,63.70,0.1668
9.48,72.70,0.1195
9.48,80.60,0.0822
9.48,83.80,0.0715
9.48,86.10,0.0653
9.48,94.50,0.0431
9.48,99.60,0.0322
9.48,104.70,0.0278
9.48,106.80,0.0251
9.48,111.70,0.02302
9.48,114.40,0.022
9.48,116.40,0.02302
9.48,123.80,0.0273
9.48,128.30,0.0333
9.48,132.70,0.0392
9.48,134.50,0.0423
9.48,141.20,0.0527
9.48,145.40,0.0562
9.48,149.40,0.0669
9.48,151.10,0.0686
9.48,157.30,0.0802
9.48,159.00,0.0809
9.48,165.00,0.0854
9.48,166.70,0.0867
9.48,172.6,0.922
9.48,174.2,0.0967
11.157,25.10,0.340
11.157,25.58,0.337
11.157,30.89,0.318
11.157,35.07,0.299
11.157,49.03,0.226
11.157,54.70,0.196
11.157,60.00,0.17
11.157,70.10,0.123
11.157,80.00,0.0732
11.157,89.72,0.045
11.157,90.00,0.0435
11.157,94.07,0.0346
11.157,100.00,0.0249
11.157,106.90,0.0184
11.157,109.90,0.0168
11.157,120.60,0.0185
11.157,122.80,0.0211
11.157,130.90,0.0286
11.157,134.87,0.0334
11.157,140.80,0.0424
11.157,145.00,0.0471
11.157,149.40,0.0568
11.157,154.90,0.0644
11.157,160.00,0.0706
11.157,164.40,0.0751
9.954,25.10,0.371
9.954,30.89,0.339
9.954,35.07,0.305
9.954,49.03,0.232
9.954,54.70,0.205
9.954,60.00,0.176
9.954,70.10,0.124
9.954,80.00,0.082
9.954,90.00,0.0492
9.954,94.07,0.0391
9.954,102.17,0.0262
9.954,106.90,0.022
9.954,109.90,0.021
9.954,120.60,0.023
9.954,122.80,0.0245
9.954,130.13,0.0319
9.954,130.90,0.0332
9.954,134.87,0.0378
9.954,140.80,0.0473
9.954,145.00,0.054
9.954,149.40,0.0616
9.954,154.90,0.0704
9.954,160.00,0.0784
9.954,164.40,0.0849
8.96,25.10,0.406
8.96,25.58,0.401
8.96,30.89,0.364
8.96,35.89,0.329
8.96,49.03,0.246
8.96,54.70,0.219
8.96,60.00,0.188
8.96,70.10,0.136
8.96,80.00,0.0916
8.96,89.72,0.0567
8.96,90.00,0.0541
8.96,94.07,0.0445
8.96,100.00,0.0346
8.96,106.90,0.0262
8.96,109.90,0.025
8.96,120.60,0.0274
8.96,122.80,0.0290
8.96,130.13,0.0368
8.96,130.90,0.0385
8.96,134.87,0.0419
8.96,140.80,0.0527
8.96,145.00,0.0594
8.96,149.40,0.0677
8.96,154.90,0.0766
8.96,160.00,0.0850
8.96,164.40,0.0923
7.967,25.10,0.443
7.967,25.58,0.443
7.967,30.89,0.398
7.967,35.07,0.354
7.967,49.03,0.266
7.967,54.70,0.234
7.967,60.00,0.203
7.967,70.10,0.145
7.967,80.00,0.0999
7.967,90.00,0.0647
7.967,94.07,0.053
7.967,100.00,0.0413
7.967,106.90,0.0336
7.967,109.90,0.0317
7.967,120.60,0.0345
7.967,122.80,0.0345
7.967,130.13,0.044
7.967,134.87,0.048
7.967,140.80,0.0601
7.967,145.00,0.0668
7.967,149.40,0.0748
7.967,154.90,0.0834
7.967,160.00,0.0916
7.967,164.40,0.0979
6.977,25.10,0.484
6.977,25.58,0.486
6.977,30.89,0.425
6.977,35.07,0.383
6.977,40.07,0.347
6.977,44.98,0.315
6.977,49.03,0.291
6.977,54.70,0.25
6.977,60.00,0.22
6.977,64.20,0.193
6.977,70.10,0.16
6.977,80.00,0.111
6.977,81.93,0.103
6.977,90.00,0.0753
6.977,90.90,0.0725
6.977,100.00,0.0526
6.977,100.33,0.0509
6.977,106.90,0.0413
6.977,107.20,0.0424
6.977,109.90,0.0403
6.977,120.60,0.042
6.977,122.80,0.0431
6.977,130.90,0.0531
6.977,140.80,0.0682
6.977,149.40,0.081
6.977,154.90,0.0911
6.977,160.00,0.100
6.977,164.40,0.106
6.016,25.10,0.535
6.016,25.58,0.53
6.016,30.89,0.467
6.016,35.07,0.405
6.016,40.07,0.375
6.016,44.98,0.336
6.016,49.03,0.306
6.016,54.70,0.269
6.016,60.00,0.235
6.016,64.20,0.208
6.016,70.10,0.175
6.016,80.00,0.126
6.016,81.93,0.118
6.016,90.00,0.0865
6.016,90.90,0.0842
6.016,100.00,0.0625
6.016,100.33,0.0625
6.016,107.20,0.0528
6.016,109.90,0.0514
6.016,115.30,0.0498
6.016,120.60,0.0506
6.016,130.90,0.0614
6.016,140.80,0.0753
6.016,145.00,0.0840
6.016,149.40,0.0900
6.016,154.90,0.0990
6.016,160.00,0.107
6.016,164.40,0.113
5.011,25.10,0.613
5.011,25.58,0.581
5.011,30.89,0.512
5.011,35.07,0.454
5.011,40.07,0.413
5.011,44.98,0.370
5.011,49.03,0.341
5.011,54.70,0.298
5.011,60.00,0.262
5.011,70.10,0.197
5.011,80.00,0.146
5.011,81.93,0.133
5.011,90.00,0.104
5.011,90.90,0.102
5.011,100.33,0.0769
5.011,106.90,0.0677
5.011,107.20,0.0675
5.011,109.90,0.0653
5.011,115.30,0.0632
5.011,120.60,0.0655
5.011,122.80,0.0666
5.011,130.90,0.0749
5.011,140.80,0.0896
5.011,145.00,0.0962
5.011,149.40,0.105
5.011,154.90,0.113
5.011,160.00,0.119
5.011,164.40,0.126
4.006,25.10,0.734
4.006,25.58,0.729
4.006,30.89,0.600
4.006,35.07,0.522
4.006,40.07,0.468
4.006,44.98,0.423
4.006,49.03,0.384
4.006,54.70,0.336
4.006,60.00,0.295
4.006,70.10,0.222
4.006,80.00,0.166
4.006,85.00,0.144
4.006,90.00,0.121
4.006,100.00,0.0938
4.006,106.90,0.0860
4.006,109.90,0.0826
4.006,120.60,0.0864
4.006,122.80,0.0859
4.006,130.90,0.0951
4.006,140.80,0.114
4.006,145.00,0.122
4.006,149.40,0.132
4.006,154.90,0.145
4.006,160.00,0.151
4.006,164.40,0.157
3.006,25.10,0.919
3.006,25.58,0.893
3.006,30.89,0.728
3.006,35.07,0.635
3.006,40.07,0.576
3.006,44.98,0.518
3.006,49.03,0.468
3.006,54.70,0.407
3.006,60.00,0.358
3.006,65.00,0.309
3.006,70.10,0.268
3.006,75.00,0.226
3.006,80.00,0.205
3.006,85.00,0.174
3.006,90.00,0.155
3.006,100.00,0.125
3.006,106.90,0.121
3.006,109.90,0.124
3.006,120.60,0.139
3.006,122.80,0.144
3.006,130.90,0.168
3.006,140.80,0.202
3.006,145.00,0.222
3.006,149.40,0.238
3.006,154.90,0.256
3.006,160.00,0.271
3.006,164.40,0.280
1.997,25.10,0.501
1.997,25.58,0.469
1.997,30.89,0.318
1.997,35.07,0.27
1.997,40.07,0.254
1.997,44.98,0.243
1.997,49.03,0.23
1.997,54.70,0.21
1.997,60.00,0.193
1.997,65.00,0.175
1.997,70.10,0.159
1.997,80.00,0.135
1.997,90.00,0.126
1.997,100.00,0.133
1.997,106.90,0.15
1.997,109.90,0.161
1.997,120.60,0.213
1.997,122.80,0.217
1.997,130.90,0.262
1.997,140.80,0.321
1.997,145.00,0.336
1.997,149.40,0.363
1.997,154.90,0.393
1.997,160.00,0.417
1.997,164.40,0.432
1.4,140,0.085
1.5,140,0.153
1.6,140,0.144
1.7,140,0.162
1.8,140,0.189
1.9,140,0.21
2,140,0.232
2.1,140,0.234
2.2,140,0.245
2.3,140,0.254
2.4,140,0.235
2.5,140,0.222
2.6,140,0.204
2.7,140,0.204
2.8,140,0.186
2.9,140,0.167
3,140,0.163
3.1,140,0.143
3.2,140,0.139
3.3,140,0.113
3.4,140,0.115
3.5,140,0.102
3.6,140,0.091
3.7,140,0.096
3.8,140,0.082
3.9,140,0.097
4,140,0.08
4.1,140,0.072
4.2,140,0.084
4.3,140,0.074
4.4,140,0.068
4.5,140,0.076
4.6,140,0.079
4.7,140,0.07
4.8,140,0.069
4.9,140,0.077
5,140,0.067
5.1,140,0.074
5.2,140,0.068
5.3,140,0.061
5.4,140,0.063
5.5,140,0.065
5.6,140,0.05
1.4,170,0.128
1.5,170,0.121
1.6,170,0.169
1.7,170,0.172
1.8,170,0.22
1.9,170,0.232
2,170,0.243
2.1,170,0.264
2.2,170,0.267
2.3,170,0.265
2.4,170,0.262
2.5,170,0.241
2.6,170,0.227
2.7,170,0.22
2.8,170,0.212
2.9,170,0.183
3,170,0.173
3.1,170,0.162
3.2,170,0.152
3.3,170,0.137
3.4,170,0.132
3.5,170,0.126
3.6,170,0.112
3.7,170,0.117
3.8,170,0.108
3.9,170,0.094
4,170,0.09
4.1,170,0.094
4.2,170,0.084
4.3,170,0.09
4.4,170,0.085
4.5,170,0.083
4.6,170,0.083
4.7,170,0.08
4.8,170,0.078
4.9,170,0.074
5,170,0.082
5.1,170,0.074
5.2,170,0.069
5.3,170,0.08
5.4,170,0.075
5.5,170,0.067
5.6,170,0.074
5.7,170,0.069
5.8,170,0.064
5.9,170,0.067
6,170,0.07
5.1,60,0.0955
5.1,90,0.0982
5.1,120,0.0955
12.04,18.76,0.353
12.04,24.98,0.3118
12.04,31.16,0.2807
12.04,37.29,0.2552
12.04,43.37,0.2285
12.04,49.39,0.1976
12.04,55.34,0.1712
12.04,61.21,0.1442
12.04,67,0.1177
12.04,78.29,0.07342
12.04,89.18,0.04222
12.04,99.63,0.02266
12.04,109.62,0.01401
12.04,119.17,0.01515
12.04,128.27,0.02248
12.04,136.97,0.0336
12.04,145.31,0.04423
12.04,153.35,0.056
12.04,161.14,0.06559
12.04,168.75,0.0726
14.32,24.71,0.2632
14.32,55.36,0.1475
14.32,72.71,0.08027
14.32,89.2,0.03452
14.32,119.19,0.0114
14.32,153.36,0.04627
14.32,168.76,0.06107
13.6,25.5,0.2717
13.6,49.35,0.1819
13.6,61.22,0.1285
13.6,83.8,0.0499
3.03,30,0.742
3.03,40,0.548
3.03,50,0.438
3.03,60,0.344
3.03,70,0.263
3.03,80,0.198
3.03,90,0.146
3.03,100,0.126
3.03,110,0.123
3.03,120,0.136
3.03,130,0.156
3.03,140,0.189
3.03,150,0.221
3.03,160,0.259
3.03,168,0.277
4.50,30,0.578
4.50,40,0.446
4.50,50,0.352
4.50,60,0.276
4.50,70,0.204
4.50,80,0.155
4.50,90,0.111
4.50,100,0.089
4.50,110,0.075
4.50,120,0.073
4.50,130,0.083
4.50,140,0.097
4.50,150,0.113
4.50,160,0.127
4.50,168,0.139
3.51,30,0.666
3.51,40,0.51
3.51,50,0.4
3.51,60,0.312
3.51,70,0.23
3.51,80,0.175
3.51,90,0.134
3.51,100,0.109
3.51,110,0.095
3.51,120,0.098
3.51,130,0.118
3.51,140,0.14
3.51,150,0.165
3.51,160,0.194
3.51,168,0.202
5.00,30,0.567
5.00,40,0.44
5.00,50,0.357
5.00,60,0.276
5.00,70,0.202
5.00,80,0.153
5.00,90,0.107
5.00,100,0.083
5.00,110,0.066
5.00,120,0.066
5.00,130,0.074
5.00,140,0.087
5.00,150,0.109
5.00,160,0.115
5.00,168,0.128
4.02,30,0.588
4.02,40,0.445
4.02,50,0.356
4.02,60,0.282
4.02,70,0.21
4.02,80,0.158
4.02,90,0.114
4.02,100,0.094
4.02,110,0.08
4.02,120,0.079
4.02,130,0.088
4.02,140,0.107
4.02,150,0.131
4.02,160,0.147
4.02,168,0.16
5.1956,20,0.34
5.1042,20,0.3003
5.0037,20,0.3173
4.894,20,0.357
4.8117,20,0.3683
4.702,20,0.34
4.6106,20,0.357
4.5009,20,0.3967
4.3912,20,0.3683
4.309,20,0.374
4.1993,20,0.3967
4.1079,20,0.4137
4.0073,20,0.442
3.8976,20,0.425
3.8062,20,0.442
3.6874,20,0.4987
3.6051,20,0.527
3.5046,20,0.5383
3.3949,20,0.5837
3.3126,20,0.646
3.1938,20,0.6347
3.1024,20,0.663
3.0018,20,0.7537
2.8921,20,0.816
2.8007,20,0.9463
2.7002,20,0.9973
2.6088,20,1.054
2.4991,20,1.0993
2.4077,20,1.224
2.3071,20,1.2353
2.1974,20,1.241
2.106,20,1.2523
1.9963,20,1.1843
1.9049,20,1.1107
1.8044,20,1.088
1.6947,20,0.9577
1.6033,20,0.8103
1.5027,20,0.7253
1.4113,20,0.6857
1.3016,20,0.612